,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,Model 13,Model 14,Model 15
27,0.7083333134651184,0.7034313678741455,0.7308823466300964,0.740686297416687,0.7534313797950745,0.7539215683937073,0.779411792755127,0.7916666865348816,0.7666666507720947,0.7867646813392639,0.7823529243469238,0.7980391979217529,0.8029412031173706,0.8053921461105347,0.800000011920929
28,0.7019608020782471,0.7107843160629272,0.7284313440322876,0.7362744808197021,0.7465686202049255,0.7558823823928833,0.7759804129600525,0.79313725233078,0.7656862735748291,0.7887254953384399,0.7911764979362488,0.8049019575119019,0.7990196347236633,0.8053921461105347,0.8176470398902893
29,0.7053921818733215,0.7098039388656616,0.7245097756385803,0.7377451062202454,0.7529411911964417,0.7568627595901489,0.781862735748291,0.7926470637321472,0.7754902243614197,0.7985293865203857,0.795098066329956,0.8068627715110779,0.811274528503418,0.7946078181266785,0.811274528503418
30,0.7063725590705872,0.7112745046615601,0.7362744808197021,0.7460784316062927,0.7549019455909729,0.7602941393852234,0.7803921699523926,0.7926470637321472,0.7730392217636108,0.7965686321258545,0.7916666865348816,0.8053921461105347,0.8063725233078003,0.8132352828979492,0.8078431487083435
31,0.7151960730552673,0.7156862616539001,0.7343137264251709,0.7421568632125854,0.7534313797950745,0.7642157077789307,0.7803921699523926,0.7955882549285889,0.7749999761581421,0.7921568751335144,0.7926470637321472,0.8088235259056091,0.8176470398902893,0.8078431487083435,0.8107843399047852
32,0.7088235020637512,0.7186274528503418,0.7357842922210693,0.7470588088035583,0.7490196228027344,0.7617647051811218,0.7843137383460999,0.7970588207244873,0.7848039269447327,0.8009803891181946,0.7960784435272217,0.8014705777168274,0.8186274766921997,0.8127450942993164,0.8166666626930237
33,0.7171568870544434,0.7200980186462402,0.7333333492279053,0.7553921341896057,0.759313702583313,0.7642157077789307,0.7759804129600525,0.8014705777168274,0.7808823585510254,0.8093137145042419,0.7955882549285889,0.8098039031028748,0.8098039031028748,0.8151960968971252,0.8093137145042419
34,0.7122548818588257,0.718137264251709,0.7352941036224365,0.7549019455909729,0.7647058963775635,0.7700980305671692,0.7799019813537598,0.7985293865203857,0.7862744927406311,0.7946078181266785,0.8053921461105347,0.811274528503418,0.8142156600952148,0.8196078538894653,0.8200980424880981
35,0.7122548818588257,0.720588207244873,0.7367647290229797,0.759313702583313,0.759313702583313,0.7764706015586853,0.7960784435272217,0.802450954914093,0.7813725471496582,0.8014705777168274,0.8083333373069763,0.8171568512916565,0.8127450942993164,0.8323529362678528,0.8102940917015076
36,0.716176450252533,0.7176470756530762,0.740686297416687,0.7446078658103943,0.7671568393707275,0.7661764621734619,0.7901960611343384,0.804411768913269,0.783823549747467,0.7980391979217529,0.8019607663154602,0.8161764740943909,0.8151960968971252,0.8269608020782471,0.8156862854957581
37,0.7117646932601929,0.7196078300476074,0.7328431606292725,0.7534313797950745,0.7647058963775635,0.7671568393707275,0.7901960611343384,0.8053921461105347,0.7784313559532166,0.7921568751335144,0.8127450942993164,0.8156862854957581,0.820588231086731,0.8215686082839966,0.8171568512916565
38,0.7132353186607361,0.7254902124404907,0.7455882430076599,0.7495098114013672,0.7696078419685364,0.772549033164978,0.7906862497329712,0.8034313917160034,0.7808823585510254,0.7980391979217529,0.8093137145042419,0.8156862854957581,0.8132352828979492,0.8269608020782471,0.820588231086731
